Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
0,1.047737956047058,6.583131731209247,175638.296875,-378661824.0,378661864.7339844,-89.97342395833887,-57520013.18838019,4.011584382240907e-10,175638.296875,57520013.1883802,-4.011584382240907e-10,175638.296875,-2155.9183318060172,0.0004638394623985121,-378661824.0,5.693519111675798e-06,-2.640878843915356e-09
1,1.1641532182693481,7.314590396335798,875645.1875,-345253664.0,345254774.42016536,-89.85468462393894,-47200683.19518655,3.959785785656031e-10,875645.1875,47200683.19518655,-3.9597857856560305e-10,875645.1875,-394.2848872220862,0.002536237204132901,-345253664.0,1.1420150698881104e-06,-2.8964211079306605e-09
2,1.3969838619232178,8.777508475602957,197616.234375,-291264320.0,291264387.03905857,-89.9611261192048,-33183029.194396995,3.91148307933513e-10,197616.234375,33183029.194397,-3.91148307933513e-10,197616.234375,-1473.8886251991412,0.0006784773170122588,-291264320.0,5.060313000916628e-06,-3.433307588104166e-09
3,1.6298145055770874,10.240426554870117,454775.5,-244496304.0,244496726.95235783,-89.89342707313166,-23875597.631597,3.994014659019325e-10,454775.5,23875597.631597,-3.9940146590193246e-10,454775.5,-537.6197794296306,0.0018600506124624282,-244496304.0,2.198887143216818e-06,-4.090041377476201e-09
4,1.862645149230957,11.703344634137277,414768.1875,-220100576.0,220100966.80428538,-89.89202918537688,-18806638.860996414,3.882118847660533e-10,414768.1875,18806638.860996418,-3.882118847660533e-10,414768.1875,-530.6592516813986,0.0018844484418795886,-220100576.0,2.410985292839027e-06,-4.5433774784851085e-09
5,2.2118911743164062,13.897722127545045,514120.5625,-184007264.0,184007982.23098496,-89.83991467999876,-13240102.393132526,3.910402015182611e-10,514120.5625,13240102.393132526,-3.910402015182611e-10,514120.56249999994,-357.90683629776044,0.0027940231886715078,-184007264.0,1.945069061500531e-06,-5.4345680614000104e-09
6,2.6775524616241455,16.823558286079365,356497.03125,-156627760.0,156628165.70703653,-89.86959055005607,-9310025.69947414,3.795014205820245e-10,356497.03125,9310025.69947414,-3.795014205820245e-10,356497.03125,-439.3522141006609,0.0022760782076561652,-156627760.0,2.8050724475703472e-06,-6.384564268811608e-09
7,3.1432137489318848,19.74939444461368,487182.09375,-136204048.0,136204919.28700218,-89.7950621938455,-6896618.951126746,3.717544716243235e-10,487182.09375,6896618.951126746,-3.717544716243235e-10,487182.09375000006,-279.5752342857942,0.00357685473305463,-136204048.0,2.0526205967519715e-06,-7.341925696657709e-09
8,3.725290298461914,23.406689268274555,534505.0,-120311384.0,120312571.31152372,-89.74545485117369,-5140042.772433868,3.5510213832738364e-10,534505.0,5140042.772433868,-3.551021383273837e-10,534505.0,-225.08935183019804,0.004442680170647858,-120311384.0,1.8708898887755962e-06,-8.311765410328918e-09
9,4.307366847991943,27.063984091935424,436060.46875,-108318120.0,108318997.72923864,-89.76934339792321,-4002297.6525572534,3.4111997943449934e-10,436060.46875,4002297.652557253,-3.411199794344994e-10,436060.46875,-248.40160427864973,0.004025738895302097,-108318120.0,2.293259929905077e-06,-9.23206569685663e-09
10,5.122274398803711,32.184199241905624,518435.34375,-97434456.0,97435835.25182912,-89.69513991202251,-3027400.348464625,3.1889280978401645e-10,518435.34375,3027400.348464625,-3.1889280978401645e-10,518435.34374999994,-187.93945508272458,0.005320862506278066,-97434456.0,1.9288808374187935e-06,-1.0263309726899897e-08
11,5.93718147277832,37.3044113958196,500734.90625,-90137848.0,90139238.8336924,-89.68171303956207,-2416278.521153694,2.9739428798031805e-10,500734.90625,2416278.5211536945,-2.9739428798031805e-10,500734.90625,-180.01111341536318,0.005555212570084877,-90137848.0,1.9970646893562756e-06,-1.1094118865584633e-08
12,7.101335048675537,44.61900403919757,1546905.125,-84679648.0,84693776.04564373,-88.95345245282402,-1897838.1481937463,2.646677857188567e-10,1546905.125,1897838.148193746,-2.646677857188567e-10,1546905.125,-54.74133263344124,0.01826773211197099,-84679648.0,6.464520569740824e-07,-1.1809213000035144e-08
13,8.265487670898438,51.933590690463085,618876.25,-82037120.0,82039454.32355833,-89.56777706805887,-1579654.3029146842,2.347152154044304e-10,618876.25,1579654.3029146844,-2.347152154044304e-10,618876.25,-132.55819721632557,0.007543856366483854,-82037120.0,1.6158319211635605e-06,-1.2189603925637565e-08
14,9.778887748718262,61.44256382330504,-3052012.5,-77943264.0,78002994.70708705,-92.24237651967877,-1268554.877106809,2.0881037922371631e-10,-3052012.5,1268554.877106809,-2.0881037922371634e-10,-3052012.5,25.538317421701255,-0.03915684747305424,-77943264.0,-3.2765265541998926e-07,-1.2829845052421721e-08
15,11.525116920471191,72.41444529823143,462864.1875,-78682664.0,78684025.42697574,-89.6629516951717,-1086560.3357997641,1.7550752266314051e-10,462864.1875,1086560.3357997641,-1.7550752266314051e-10,462864.1875,-169.99082263196263,0.005882670514307955,-78682664.0,2.1604609451449515e-06,-1.2709279899318102e-08
16,13.504178047180176,84.8492530915796,2947030.5,-78556776.0,78612034.9837231,-87.85157597206465,-925839.3343216823,1.5002661992344041e-10,2947030.5,925839.3343216822,-1.5002661992344044e-10,2947030.5,-26.656248043581495,0.03751465691514631,-78556776.0,3.3932461845915747e-07,-1.2729646644358216e-08
17,15.948899269104004,100.20988955332152,2732203.0,-77074328.0,77122739.64198104,-87.96977564676872,-769128.9586641933,1.2947313671060682e-10,2732203.0,769128.9586641933,-1.2947313671060682e-10,2732203.0,-28.20959057581007,0.03544893703127713,-77074328.0,3.6600501500071553e-07,-1.2974488729892007e-08
18,18.74286651611328,117.7649035084712,2873211.75,-76701184.0,76754980.11700734,-87.85471408083289,-651307.6622568,1.1070877656281756e-10,2873211.75,651307.6622568,-1.1070877656281754e-10,2873211.75,-26.695277158044476,0.03745980961649823,-76701184.0,3.480425694347101e-07,-1.3037608389461107e-08
19,22.00249671936035,138.245764108352,-3193105.75,-72824816.0,72894785.47718306,-92.51060539945198,-526777.9195239758,9.932733212415253e-11,-3193105.75,526777.9195239758,-9.932733212415251e-11,-3193105.75,22.806891378401733,-0.04384639639872211,-72824816.0,-3.131747202547238e-07,-1.3731582926347523e-08
20,25.960617065429688,163.11536771082345,6930674.0,-68128680.0,68480298.48530653,-84.19133059643917,-417671.7433564008,8.998604117751218e-11,6930674.0,417671.74335640087,-8.998604117751218e-11,6930674.0,-9.830022303747082,0.10172916897846838,-68128680.0,1.4428611127864332e-07,-1.46781061955112e-08
21,30.50081443786621,191.64226913301198,15743209.0,-61001280.0,63000038.02583044,-75.52887531814758,-318308.06573084986,8.554009880378172e-11,15743209.0,318308.0657308499,-8.554009880378172e-11,15743209.000000002,-3.874767844344822,0.2580799779939044,-61001280.0,6.351945146634336e-08,-1.639309863661877e-08
22,35.97233581542969,226.0208518604378,21709432.0,-51755548.0,56124292.30327032,-67.24385276400919,-228985.72221981426,8.548591828439638e-11,21709432.0,228985.72221981423,-8.548591828439638e-11,21709432.0,-2.384012073646146,0.4194609629097155,-51755548.0,4.606292785550539e-08,-1.9321600072711046e-08
23,42.25876235961914,265.51963475755275,27130032.0,-44814152.0,52386514.06421435,-58.80971368451865,-168779.05108946093,8.404041244886067e-11,27130032.0,168779.05108946093,-8.404041244886067e-11,27130031.999999996,-1.6518282027828055,0.6053898331045068,-44814152.0,3.685952158110245e-08,-2.2314379618295577e-08
24,49.82575988769531,313.0644824454252,29124284.0,-34716528.0,45315132.515390925,-50.00614254949233,-110892.57947378921,9.200891639112321e-11,29124284.0,110892.57947378921,-9.20089163911232e-11,29124284.000000004,-1.1920130980730719,0.8389169562117502,-34716528.0,3.433560804447587e-08,-2.8804723790351385e-08
25,58.556907653808594,367.923901804282,30859478.0,-31164962.0,43858434.0679638,-45.28219202597,-84704.91274736011,8.721182929881458e-11,30859478.0,84704.91274736011,-8.721182929881458e-11,30859478.0,-1.0098991953136731,0.9901978382004766,-31164962.0,3.240495513242317e-08,-3.208731651910886e-08
26,68.9178695678711,433.0237454709668,29666764.0,-28954552.0,41454589.22426321,-44.30392667903965,-66865.96821268623,7.975748266365776e-11,29666764.0,66865.96821268625,-7.975748266365774e-11,29666763.999999996,-0.9759929326973444,1.0245975831364962,-28954552.0,3.370775457680521e-08,-3.453688387235278e-08
27,81.1414794921875,509.8269517481262,31644396.0,-23488508.0,39409108.1638608,-36.58518307205461,-46071.53058397786,8.350678782405026e-11,31644396.0,46071.53058397786,-8.350678782405024e-11,31644396.0,-0.7422643807137289,1.3472288661331746,-23488508.0,3.160117197370429e-08,-4.257401108661308e-08
